Angle,Sin
30.4,0.5060
30.5,0.5075
30.6,0.5090
30.7,0.5105
30.8,0.5120
30.9,0.5135
31,0.5150
31.1,0.5165
31.2,0.5180
31.3,0.5195
31.4,0.5210
31.5,0.5225
31.6,0.5240
31.7,0.5255
31.8,0.5270
31.9,0.5284
32,0.5299
32.1,0.5314
32.2,0.5329
32.3,0.5344
32.4,0.5358
32.5,0.5373
32.6,0.5388
32.7,0.5402
32.8,0.5417
32.9,0.5432
33,0.5446
33.1,0.5461
33.2,0.5476
33.3,0.5490
33.4,0.5505
33.5,0.5519
33.6,0.5534
33.7,0.5548
33.8,0.5563
33.9,0.5577
34,0.5592
34.1,0.5606
34.2,0.5621
34.3,0.5635
34.4,0.5650
34.5,0.5664
34.6,0.5678
34.7,0.5693
34.8,0.5707
34.9,0.5721
35,0.5736
35.1,0.5750
35.2,0.5764
35.3,0.5779
35.4,0.5793
35.5,0.5807
35.6,0.5821
35.7,0.5835
35.8,0.5850
35.9,0.5864
36,0.5878
36.1,0.5892
36.2,0.5906
36.3,0.5920
36.4,0.5934
36.5,0.5948
36.6,0.5962
36.7,0.5976
36.8,0.5990
36.9,0.6004
37,0.6018
37.1,0.6032
37.2,0.6046
37.3,0.6060
37.4,0.6074
37.5,0.6088
37.6,0.6101
37.7,0.6115
37.8,0.6129
37.9,0.6143
38,0.6157
38.1,0.6170
38.2,0.6184
38.3,0.6198
38.4,0.6211
38.5,0.6225
38.6,0.6239
38.7,0.6252
38.8,0.6266
38.9,0.6280
39,0.6293
39.1,0.6307
39.2,0.6320
39.3,0.6334
39.4,0.6347
39.5,0.6361
39.6,0.6374
39.7,0.6388
39.8,0.6401
39.9,0.6414
40,0.6428
40.1,0.6441
40.2,0.6455
40.3,0.6468
40.4,0.6481
40.5,0.6494
40.6,0.6508
40.7,0.6521
40.8,0.6534
40.9,0.6547
41,0.6561
41.1,0.6574
41.2,0.6587
41.3,0.6600
41.4,0.6613
41.5,0.6626
41.6,0.6639
41.7,0.6652
41.8,0.6665
41.9,0.6678
42,0.6691
42.1,0.6704
42.2,0.6717
42.3,0.6730
42.4,0.6743
42.5,0.6756
42.6,0.6769
42.7,0.6782
42.8,0.6794
42.9,0.6807
43,0.6820
43.1,0.6833
43.2,0.6845
43.3,0.6858
43.4,0.6871
43.5,0.6884
43.6,0.6896
43.7,0.6909
43.8,0.6921
43.9,0.6934
44,0.6947
44.1,0.6959
44.2,0.6972
44.3,0.6984
44.4,0.6997
44.5,0.7009
44.6,0.7022
44.7,0.7034
44.8,0.7046
44.9,0.7059
45,0.7071
45.1,0.7083
45.2,0.7096
45.3,0.7108
45.4,0.7120
45.5,0.7133
45.6,0.7145
45.7,0.7157
45.8,0.7169
45.9,0.7181
46,0.7193
46.1,0.7206
46.2,0.7218
46.3,0.7230
46.4,0.7242
46.5,0.7254
46.6,0.7266
46.7,0.7278
46.8,0.7290
46.9,0.7302
47,0.7314
47.1,0.7325
47.2,0.7337
47.3,0.7349
47.4,0.7361
47.5,0.7373
47.6,0.7385
47.7,0.7396
47.8,0.7408
47.9,0.7420
48,0.7431
48.1,0.7443
48.2,0.7455
48.3,0.7466
48.4,0.7478
48.5,0.7490
48.6,0.7501
48.7,0.7513
48.8,0.7524
48.9,0.7536
49,0.7547
49.1,0.7559
49.2,0.7570
49.3,0.7581
49.4,0.7593
49.5,0.7604
49.6,0.7615
49.7,0.7627
49.8,0.7638
49.9,0.7649
50,0.7660
50.1,0.7672
50.2,0.7683
50.3,0.7694
50.4,0.7705
50.5,0.7716
50.6,0.7727
50.7,0.7738
50.8,0.7749
50.9,0.7760
51,0.7771
51.1,0.7782
51.2,0.7793
51.3,0.7804
51.4,0.7815
51.5,0.7826
51.6,0.7837
51.7,0.7848
51.8,0.7859
51.9,0.7869
52,0.7880
52.1,0.7891
52.2,0.7902
52.3,0.7912
52.4,0.7923
52.5,0.7934
52.6,0.7944
52.7,0.7955
52.8,0.7965
52.9,0.7976
53,0.7986
53.1,0.7997
53.2,0.8007
53.3,0.8018
53.4,0.8028
53.5,0.8039
53.6,0.8049
53.7,0.8059
53.8,0.8070
53.9,0.8080
54,0.8090
54.1,0.8100
54.2,0.8111
54.3,0.8121
54.4,0.8131
54.5,0.8141
54.6,0.8151
54.7,0.8161
54.8,0.8171
54.9,0.8181
55,0.8192
55.1,0.8202
55.2,0.8211
55.3,0.8221
55.4,0.8231
55.5,0.8241
55.6,0.8251
55.7,0.8261
55.8,0.8271
55.9,0.8281
56,0.8290
56.1,0.8300
56.2,0.8310
56.3,0.8320
56.4,0.8329
56.5,0.8339
56.6,0.8348
56.7,0.8358
56.8,0.8368
56.9,0.8377
57,0.8387
57.1,0.8396
57.2,0.8406
57.3,0.8415
57.4,0.8425
57.5,0.8434
57.6,0.8443
57.7,0.8453
57.8,0.8462
57.9,0.8471
58,0.8480
58.1,0.8490
58.2,0.8499
58.3,0.8508
58.4,0.8517
58.5,0.8526
58.6,0.8536
58.7,0.8545
58.8,0.8554
58.9,0.8563
59,0.8572
59.1,0.8581
59.2,0.8590
59.3,0.8599
59.4,0.8607
59.5,0.8616
59.6,0.8625
59.7,0.8634
59.8,0.8643
59.9,0.8652
60,0.8660
60.1,0.8669
60.2,0.8678
60.3,0.8686
60.4,0.8695
60.5,0.8704
60.6,0.8712
60.7,0.8721
60.8,0.8729
60.9,0.8738
61,0.8746
61.1,0.8755
61.2,0.8763
61.3,0.8771
61.4,0.8780
61.5,0.8788
61.6,0.8796
61.7,0.8805
61.8,0.8813
61.9,0.8821
62,0.8829
62.1,0.8838
62.2,0.8846
62.3,0.8854
62.4,0.8862
62.5,0.8870
62.6,0.8878
62.7,0.8886
62.8,0.8894
62.9,0.8902
63,0.8910
63.1,0.8918
63.2,0.8926
63.3,0.8934
63.4,0.8942
63.5,0.8949
63.6,0.8957
63.7,0.8965
63.8,0.8973
63.9,0.8980
64,0.8988
64.1,0.8996
64.2,0.9003
64.3,0.9011
64.4,0.9018
64.5,0.9026
64.6,0.9033
64.7,0.9041
64.8,0.9048
64.9,0.9056
65,0.9063
65.1,0.9070
65.2,0.9078
65.3,0.9085
65.4,0.9092
65.5,0.9100
65.6,0.9107
65.7,0.9114
65.8,0.9121
65.9,0.9128
66,0.9135
66.1,0.9143
66.2,0.9150
66.3,0.9157
66.4,0.9164
66.5,0.9171
66.6,0.9178
66.7,0.9184
66.8,0.9191
66.9,0.9198
67,0.9205
67.1,0.9212
67.2,0.9219
67.3,0.9225
67.4,0.9232
67.5,0.9239
67.6,0.9245
67.7,0.9252
67.8,0.9259
67.9,0.9265
68,0.9272
68.1,0.9278
68.2,0.9285
68.3,0.9291
68.4,0.9298
68.5,0.9304
68.6,0.9311
68.7,0.9317
68.8,0.9323
68.9,0.9330
69,0.9336
69.1,0.9342
69.2,0.9348
69.3,0.9354
69.4,0.9361
69.5,0.9367
69.6,0.9373
69.7,0.9379
69.8,0.9385
69.9,0.9391
70,0.9397
70.1,0.9403
70.2,0.9409
70.3,0.9415
70.4,0.9421
70.5,0.9426
70.6,0.9432
70.7,0.9438
70.8,0.9444
70.9,0.9449
71,0.9455
71.1,0.9461
71.2,0.9466
71.3,0.9472
71.4,0.9478
71.5,0.9483
71.6,0.9489
71.7,0.9494
71.8,0.9500
71.9,0.9505
72,0.9511
72.1,0.9516
72.2,0.9521
72.3,0.9527
72.4,0.9532
72.5,0.9537
72.6,0.9542
72.7,0.9548
72.8,0.9553
72.9,0.9558
73,0.9563
73.1,0.9568
73.2,0.9573
73.3,0.9578
73.4,0.9583
73.5,0.9588
73.6,0.9593
73.7,0.9598
73.8,0.9603
73.9,0.9608
74,0.9613
74.1,0.9617
74.2,0.9622
74.3,0.9627
74.4,0.9632
74.5,0.9636
74.6,0.9641
74.7,0.9646
74.8,0.9650
74.9,0.9655
75,0.9659
75.1,0.9664
75.2,0.9668
75.3,0.9673
75.4,0.9677
75.5,0.9681
75.6,0.9686
75.7,0.9690
75.8,0.9694
75.9,0.9699
76,0.9703
76.1,0.9707
76.2,0.9711
76.3,0.9715
76.4,0.9720
76.5,0.9724
76.6,0.9728
76.7,0.9732
76.8,0.9736
76.9,0.9740
77,0.9744
77.1,0.9748
77.2,0.9751
77.3,0.9755
77.4,0.9759
77.5,0.9763
77.6,0.9767
77.7,0.9770
77.8,0.9774
77.9,0.9778
78,0.9781
78.1,0.9785
78.2,0.9789
78.3,0.9792
78.4,0.9796
78.5,0.9799
78.6,0.9803
78.7,0.9806
78.8,0.9810
78.9,0.9813
79,0.9816
79.1,0.9820
79.2,0.9823
79.3,0.9826
79.4,0.9829
79.5,0.9833
79.6,0.9836
79.7,0.9839
79.8,0.9842
79.9,0.9845
80,0.9848
80.1,0.9851
80.2,0.9854
80.3,0.9857
80.4,0.9860
80.5,0.9863
80.6,0.9866
80.7,0.9869
80.8,0.9871
80.9,0.9874
81,0.9877
81.1,0.9880
81.2,0.9882
81.3,0.9885
81.4,0.9888
81.5,0.9890
81.6,0.9893
81.7,0.9895
81.8,0.9898
81.9,0.9900
82,0.9903
82.1,0.9905
82.2,0.9907
82.3,0.9910
82.4,0.9912
82.5,0.9914
82.6,0.9917
82.7,0.9919
82.8,0.9921
82.9,0.9923
83,0.9925
83.1,0.9928
83.2,0.9930
83.3,0.9932
83.4,0.9934
83.5,0.9936
83.6,0.9938
83.7,0.9940
83.8,0.9942
83.9,0.9943
84,0.9945
84.1,0.9947
84.2,0.9949
84.3,0.9951
84.4,0.9952
84.5,0.9954
84.6,0.9956
84.7,0.9957
84.8,0.9959
84.9,0.9960
85,0.9962
85.1,0.9963
85.2,0.9965
85.3,0.9966
85.4,0.9968
85.5,0.9969
85.6,0.9971
85.7,0.9972
85.8,0.9973
85.9,0.9974
86,0.9976
86.1,0.9977
86.2,0.9978
86.3,0.9979
86.4,0.9980
86.5,0.9981
86.6,0.9982
86.7,0.9983
86.8,0.9984
86.9,0.9985
87,0.9986
87.1,0.9987
87.2,0.9988
87.3,0.9989
87.4,0.9990
87.5,0.9990
87.6,0.9991
87.7,0.9992
87.8,0.9993
87.9,0.9993
88,0.9994
88.1,0.9995
88.2,0.9995
88.3,0.9996
88.4,0.9996
88.5,0.9997
88.6,0.9997
88.7,0.9997
88.8,0.9998
88.9,0.9998
89,0.9998
89.1,0.9999
89.2,0.9999
89.3,0.9999
89.4,0.9999
89.5,1.0000
89.6,1.0000
89.7,1.0000
89.8,1.0000
89.9,1.0000
90,1.0000
90.1,1.0000
90.2,1.0000
90.3,1.0000
90.4,1.0000
90.5,1.0000
90.6,0.9999
90.7,0.9999
90.8,0.9999
90.9,0.9999
91,0.9998
91.1,0.9998
91.2,0.9998
91.3,0.9997
91.4,0.9997
91.5,0.9997
91.6,0.9996
91.7,0.9996
91.8,0.9995
91.9,0.9995
92,0.9994
92.1,0.9993
92.2,0.9993
92.3,0.9992
92.4,0.9991
92.5,0.9990
92.6,0.9990
92.7,0.9989
92.8,0.9988
92.9,0.9987
93,0.9986
93.1,0.9985
93.2,0.9984
93.3,0.9983
93.4,0.9982
93.5,0.9981
93.6,0.9980
93.7,0.9979
93.8,0.9978
93.9,0.9977
94,0.9976
94.1,0.9974
94.2,0.9973
94.3,0.9972
94.4,0.9971
94.5,0.9969
94.6,0.9968
94.7,0.9966
94.8,0.9965
94.9,0.9963
95,0.9962
95.1,0.9960
95.2,0.9959
95.3,0.9957
95.4,0.9956
95.5,0.9954
95.6,0.9952
95.7,0.9951
95.8,0.9949
95.9,0.9947
96,0.9945
96.1,0.9943
96.2,0.9942
96.3,0.9940
96.4,0.9938
96.5,0.9936
96.6,0.9934
96.7,0.9932
96.8,0.9930
96.9,0.9928
97,0.9925
97.1,0.9923
97.2,0.9921
97.3,0.9919
97.4,0.9917
97.5,0.9914
97.6,0.9912
97.7,0.9910
97.8,0.9907
97.9,0.9905
98,0.9903
98.1,0.9900
98.2,0.9898
98.3,0.9895
98.4,0.9893
98.5,0.9890
98.6,0.9888
98.7,0.9885
98.8,0.9882
98.9,0.9880
99,0.9877
99.1,0.9874
99.2,0.9871
99.3,0.9869
99.4,0.9866
99.5,0.9863
99.6,0.9860
99.7,0.9857
99.8,0.9854
99.9,0.9851
100,0.9848
100.1,0.9845
100.2,0.9842
100.3,0.9839
100.4,0.9836
100.5,0.9833
100.6,0.9829
100.7,0.9826
100.8,0.9823
100.9,0.9820
101,0.9816
101.1,0.9813
101.2,0.9810
101.3,0.9806
101.4,0.9803
101.5,0.9799
101.6,0.9796
101.7,0.9792
101.8,0.9789
101.9,0.9785
102,0.9781
102.1,0.9778
102.2,0.9774
102.3,0.9770
102.4,0.9767
102.5,0.9763
102.6,0.9759
102.7,0.9755
102.8,0.9751
102.9,0.9748
103,0.9744
103.1,0.9740
103.2,0.9736
103.3,0.9732
103.4,0.9728
103.5,0.9724
103.6,0.9720
103.7,0.9715
103.8,0.9711
103.9,0.9707
104,0.9703
104.1,0.9699
104.2,0.9694
104.3,0.9690
104.4,0.9686
104.5,0.9681
104.6,0.9677
104.7,0.9673
104.8,0.9668
104.9,0.9664
105,0.9659
105.1,0.9655
105.2,0.9650
105.3,0.9646
105.4,0.9641
105.5,0.9636
105.6,0.9632
105.7,0.9627
105.8,0.9622
105.9,0.9617
106,0.9613
106.1,0.9608
106.2,0.9603
106.3,0.9598
106.4,0.9593
106.5,0.9588
106.6,0.9583
106.7,0.9578
106.8,0.9573
106.9,0.9568
107,0.9563
107.1,0.9558
107.2,0.9553
107.3,0.9548
107.4,0.9542
107.5,0.9537
107.6,0.9532
107.7,0.9527
107.8,0.9521
107.9,0.9516
108,0.9511
108.1,0.9505
108.2,0.9500
108.3,0.9494
108.4,0.9489
108.5,0.9483
108.6,0.9478
108.7,0.9472
108.8,0.9466
108.9,0.9461
109,0.9455
109.1,0.9449
109.2,0.9444
109.3,0.9438
109.4,0.9432
109.5,0.9426
109.6,0.9421
109.7,0.9415
109.8,0.9409
109.9,0.9403
110,0.9397
110.1,0.9391
110.2,0.9385
110.3,0.9379
110.4,0.9373
110.5,0.9367
110.6,0.9361
110.7,0.9354
110.8,0.9348
110.9,0.9342
111,0.9336
111.1,0.9330
111.2,0.9323
111.3,0.9317
111.4,0.9311
111.5,0.9304
111.6,0.9298
111.7,0.9291
111.8,0.9285
111.9,0.9278
112,0.9272
112.1,0.9265
112.2,0.9259
112.3,0.9252
112.4,0.9245
112.5,0.9239
112.6,0.9232
112.7,0.9225
112.8,0.9219
112.9,0.9212
113,0.9205
113.1,0.9198
113.2,0.9191
113.3,0.9184
113.4,0.9178
113.5,0.9171
113.6,0.9164
113.7,0.9157
113.8,0.9150
113.9,0.9143
114,0.9135
114.1,0.9128
114.2,0.9121
114.3,0.9114
114.4,0.9107
114.5,0.9100
114.6,0.9092
114.7,0.9085
114.8,0.9078
114.9,0.9070
115,0.9063
115.1,0.9056
115.2,0.9048
115.3,0.9041
115.4,0.9033
115.5,0.9026
115.6,0.9018
115.7,0.9011
115.8,0.9003
115.9,0.8996
116,0.8988
116.1,0.8980
116.2,0.8973
116.3,0.8965
116.4,0.8957
116.5,0.8949
116.6,0.8942
116.7,0.8934
116.8,0.8926
116.9,0.8918
117,0.8910
117.1,0.8902
117.2,0.8894
117.3,0.8886
117.4,0.8878
117.5,0.8870
117.6,0.8862
117.7,0.8854
117.8,0.8846
117.9,0.8838
118,0.8829
118.1,0.8821
118.2,0.8813
118.3,0.8805
118.4,0.8796
118.5,0.8788
118.6,0.8780
118.7,0.8771
118.8,0.8763
118.9,0.8755
119,0.8746
119.1,0.8738
119.2,0.8729
119.3,0.8721
119.4,0.8712
119.5,0.8704
119.6,0.8695
119.7,0.8686
119.8,0.8678
119.9,0.8669
120,0.8660
120.1,0.8652
120.2,0.8643
120.3,0.8634
120.4,0.8625
120.5,0.8616
120.6,0.8607
120.7,0.8599
120.8,0.8590
120.9,0.8581
121,0.8572
121.1,0.8563
121.2,0.8554
121.3,0.8545
121.4,0.8536
121.5,0.8526
121.6,0.8517
121.7,0.8508
121.8,0.8499
121.9,0.8490
122,0.8480
122.1,0.8471
122.2,0.8462
122.3,0.8453
122.4,0.8443
122.5,0.8434
122.6,0.8425
122.7,0.8415
122.8,0.8406
122.9,0.8396
123,0.8387
123.1,0.8377
123.2,0.8368
123.3,0.8358
123.4,0.8348
123.5,0.8339
123.6,0.8329
123.7,0.8320
123.8,0.8310
123.9,0.8300
124,0.8290
124.1,0.8281
124.2,0.8271
124.3,0.8261
124.4,0.8251
124.5,0.8241
124.6,0.8231
124.7,0.8221
124.8,0.8211
124.9,0.8202
125,0.8192
125.1,0.8181
125.2,0.8171
125.3,0.8161
125.4,0.8151
125.5,0.8141
125.6,0.8131
125.7,0.8121
125.8,0.8111
125.9,0.8100
126,0.8090
126.1,0.8080
126.2,0.8070
126.3,0.8059
126.4,0.8049
126.5,0.8039
126.6,0.8028
126.7,0.8018
126.8,0.8007
126.9,0.7997
127,0.7986
127.1,0.7976
127.2,0.7965
127.3,0.7955
127.4,0.7944
127.5,0.7934
127.6,0.7923
127.7,0.7912
127.8,0.7902
127.9,0.7891
128,0.7880
128.1,0.7869
128.2,0.7859
128.3,0.7848
128.4,0.7837
128.5,0.7826
128.6,0.7815
128.7,0.7804
128.8,0.7793
128.9,0.7782
129,0.7771
129.1,0.7760
129.2,0.7749
129.3,0.7738
129.4,0.7727
129.5,0.7716
129.6,0.7705
129.7,0.7694
129.8,0.7683
129.9,0.7672
130,0.7660
130.1,0.7649
130.2,0.7638
130.3,0.7627
130.4,0.7615
130.5,0.7604
130.6,0.7593
130.7,0.7581
130.8,0.7570
130.9,0.7559
131,0.7547
131.1,0.7536
131.2,0.7524
131.3,0.7513
131.4,0.7501
131.5,0.7490
131.6,0.7478
131.7,0.7466
131.8,0.7455
131.9,0.7443
132,0.7431
132.1,0.7420
132.2,0.7408
132.3,0.7396
132.4,0.7385
132.5,0.7373
132.6,0.7361
132.7,0.7349
132.8,0.7337
132.9,0.7325
133,0.7314
133.1,0.7302
133.2,0.7290
133.3,0.7278
133.4,0.7266
133.5,0.7254
133.6,0.7242
133.7,0.7230
133.8,0.7218
133.9,0.7206
134,0.7193
134.1,0.7181
